"","rank","coach_name","seasons","n_teams","teams","total_score"
"195",195,"Gary Kubiak",1,1,"MIN",1.6688947051069
"196",196,"Ed Donatell",4,2,"DEN, MIN",6.6554078850428
"197",197,"Scott Turner",5,3,"CAR, LV, WSH",8.26290793513877
"198",198,"Bill Musgrave",2,1,"DEN",3.27709769068093
"199",199,"Shane Bowen",5,2,"NYG, TEN",8.0552049940913
"200",200,"Mike Nolan",1,1,"DAL",1.58453191259545
"201",201,"Harold Goodwin",1,1,"ARI",1.56401811501254
"202",202,"Patrick Graham",7,3,"LV, MIA, NYG",10.9259381543741
"203",203,"Jeff Saturday",1,1,"IND",1.55777428001579
"204",204,"Bill Callahan",1,1,"WSH",1.5508902292418
"205",205,"Darren Rizzi",1,1,"NO",1.54985483477348
"206",206,"Perry Fewell",1,1,"CAR",1.54948376600555
"207",207,"Greg Manusky",3,1,"WSH",4.57711037509111
"208",208,"Bill Lazor",4,2,"CHI, CIN",6.09085419147201
"209",209,"Matt Cavanaugh",2,1,"WSH",3.02622014584931
"210",210,"Dave Ragone",3,1,"ATL",4.44935953492365
"211",211,"Al Golden",1,1,"CIN",1.47889609505129
"212",212,"Ken Zampese",1,1,"CIN",1.46720405064493
"213",213,"Jerod Mayo",1,1,"NE",1.41608783373249
"214",214,"Clyde Christensen",1,1,"MIA",1.41002406302842
"215",215,"Norv Turner",2,1,"CAR",2.79023719799625
"216",216,"Mark Duffner",1,1,"TB",1.39481492516775
"217",217,"Todd Wash",4,1,"JAX",5.56430006119097
"218",218,"Lovie Smith",2,1,"HOU",2.77809363244774
"219",219,"Chris Tabor",1,1,"CAR",1.37054248749833
"220",220,"Mike Smith",2,1,"TB",2.72435596286291
"221",221,"John Pagano",1,1,"LV",1.34122109268249
"222",222,"Mike McCoy",3,3,"ARI, DEN, TEN",3.87816542256927
"223",223,"Nick Sorensen",1,1,"SF",1.29241502271157
"224",224,"Ryan Nielsen",3,3,"ATL, JAX, NO",3.83511476861766
"225",225,"Chad O'Shea",1,1,"MIA",1.26767234712284
"226",226,"Drew Petzing",3,1,"ARI",3.78591082690309
"227",227,"Nick Rallis",3,1,"ARI",3.78591082690309
"228",228,"Tommy Rees",1,1,"CLE",1.25094430567078
"229",229,"James Bettcher",3,2,"ARI, NYG",3.47498114047973
"230",230,"Joe Cullen",1,1,"JAX",1.1383909670497
"231",231,"Urban Meyer",1,1,"JAX",1.1383909670497
"232",232,"Dennard Wilson",2,1,"TEN",2.23326351594145
"233",233,"Nick Holz",2,1,"TEN",2.23326351594145
"234",234,"Dowell Loggains",4,3,"CHI, MIA, NYJ",4.44064179112143
"235",235,"Doug Nussmeier",1,1,"NO",1.0818052253673
"236",236,"Luke Getsy",3,2,"CHI, LV",3.21625423837164
"237",237,"Alan Williams",2,1,"CHI",2.13560363901245
"238",238,"Jeff Nixon",1,1,"CAR",0.976253032150025
"239",239,"Pep Hamilton",1,1,"HOU",0.957067992121172
"240",240,"Jeremy Bates",1,1,"NYJ",0.955062467881394
"241",241,"Paul Pasqualoni",2,1,"DET",1.74918809629673
"242",242,"Mike Sullivan",1,1,"NYG",0.832376777455557
"243",243,"DeMarcus Covington",1,1,"NE",0.708043916866246
"244",244,"Rob Chudzinski",1,1,"IND",0.687968277422689
"245",245,"Ted Monachino",1,1,"IND",0.687968277422689
"246",246,"Chip Kelly",1,1,"LV",0.486976218167788
"247",247,"Frank Bush",1,1,"NYJ",0.405113545517881
"248",248,"Tanner Engstrand",1,1,"NYJ",0.395427688166426
