"","season","team","coach","offense","defense","reg_wins","reg_losses","reg_ties","home_wins","home_losses","home_ties","away_wins","away_losses","away_ties","neutral_wins","neutral_losses","neutral_ties","one_score_wins","one_score_losses","div_wins","div_losses","div_ties","rest_adv_wins","rest_adv_losses","rest_adv_ties","rest_disadv_wins","rest_disadv_losses","rest_disadv_ties","ot_wins","ot_losses","ot_ties","playoff_wins","playoff_losses","round_reached","made_playoffs","won_sb"
"128",2023,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",12,5,0,6,2,0,6,3,0,0,0,0,5,3,4,2,0,3,1,0,2,1,0,0,1,0,2,1,"CON",TRUE,FALSE
"129",2024,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",15,2,0,7,2,0,8,0,0,0,0,0,7,2,6,0,0,1,1,0,2,0,0,1,0,0,0,1,"DIV",TRUE,FALSE
"130",2025,"DET","Dan Campbell","John Morton","Kelvin Sheppard",9,8,0,5,3,0,4,5,0,0,0,0,3,5,2,4,0,1,2,0,0,0,0,1,0,0,0,0,"REG",FALSE,FALSE
"131",2015,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",10,6,0,5,3,0,5,3,0,0,0,0,3,4,3,3,0,1,0,0,1,1,0,0,0,0,1,1,"DIV",TRUE,FALSE
"132",2016,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",10,6,0,6,2,0,4,4,0,0,0,0,6,3,5,1,0,2,1,0,0,0,0,0,0,0,2,1,"CON",TRUE,FALSE
"133",2017,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",7,9,0,4,4,0,3,5,0,0,0,0,6,2,2,4,0,1,1,0,2,2,0,3,0,0,0,0,"REG",FALSE,FALSE
"134",2018,"GB","Joe Philbin","","Mike Pettine",6,9,1,5,2,1,1,7,0,0,0,0,3,6,1,4,1,0,2,0,0,0,1,1,0,1,0,0,"REG",FALSE,FALSE
"135",2018,"GB","Mike McCarthy","Joe Philbin","Mike Pettine",6,9,1,5,2,1,1,7,0,0,0,0,3,6,1,4,1,0,2,0,0,0,1,1,0,1,0,0,"REG",FALSE,FALSE
"136",2019,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",13,3,0,7,1,0,6,2,0,0,0,0,8,1,6,0,0,2,1,0,4,0,0,0,0,0,1,1,"CON",TRUE,FALSE
"137",2020,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",13,3,0,7,1,0,6,2,0,0,0,0,4,2,5,1,0,1,1,0,1,2,0,0,1,0,1,1,"CON",TRUE,FALSE
"138",2021,"GB","Matt LaFleur","Nathaniel Hackett","Joe Barry",13,4,0,8,0,0,5,3,0,0,1,0,6,3,4,2,0,1,1,0,3,0,0,1,0,0,0,1,"DIV",TRUE,FALSE
"139",2022,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",8,9,0,5,3,0,3,5,0,0,1,0,4,5,3,3,0,1,1,0,2,2,0,2,0,0,0,0,"REG",FALSE,FALSE
"140",2023,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",9,8,0,5,3,0,4,5,0,0,0,0,6,5,4,2,0,1,2,0,0,2,0,0,0,0,1,1,"DIV",TRUE,FALSE
"141",2024,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",11,6,0,6,3,0,5,2,0,0,1,0,5,5,1,5,0,3,0,0,0,1,0,0,0,0,0,1,"WC",TRUE,FALSE
"142",2025,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",9,7,1,5,3,0,4,4,1,0,0,0,4,5,4,2,0,1,1,0,1,2,1,0,1,1,0,1,"WC",TRUE,FALSE
"143",2015,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",9,7,0,5,3,0,4,4,0,0,0,0,3,3,5,1,0,2,0,0,2,0,0,0,0,0,0,1,"WC",TRUE,FALSE
"144",2016,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",9,7,0,7,1,0,2,5,0,0,1,0,8,4,5,1,0,2,0,0,0,3,0,1,0,0,1,1,"DIV",TRUE,FALSE
"145",2017,"HOU","Bill O'Brien","","Mike Vrabel",4,12,0,3,5,0,1,7,0,0,0,0,1,5,1,5,0,0,2,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"146",2018,"HOU","Bill O'Brien","","Romeo Crennel",11,5,0,6,2,0,5,3,0,0,0,0,6,5,4,2,0,2,0,0,0,0,0,2,0,0,0,1,"WC",TRUE,FALSE
"147",2019,"HOU","Bill O'Brien","Tim Kelly","Romeo Crennel",10,6,0,5,3,0,4,3,0,1,0,0,8,3,4,2,0,1,1,0,0,1,0,0,0,0,1,1,"DIV",TRUE,FALSE
"148",2020,"HOU","Romeo Crennel","Tim Kelly","Anthony Weaver",4,12,0,2,6,0,2,6,0,0,0,0,2,8,2,4,0,0,3,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"149",2020,"HOU","Bill O'Brien","Tim Kelly","Anthony Weaver",4,12,0,2,6,0,2,6,0,0,0,0,2,8,2,4,0,0,3,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"150",2021,"HOU","David Culley","Tim Kelly","Lovie Smith",4,13,0,2,7,0,2,6,0,0,0,0,0,4,3,3,0,1,1,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"151",2022,"HOU","Lovie Smith","Pep Hamilton","",3,13,1,0,7,1,3,6,0,0,0,0,3,6,3,2,1,0,0,0,0,3,1,0,1,1,0,0,"REG",FALSE,FALSE
"152",2023,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",10,7,0,6,3,0,4,4,0,0,0,0,7,3,4,2,0,0,0,0,1,0,0,1,0,0,1,1,"DIV",TRUE,FALSE
"153",2024,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",10,7,0,5,3,0,5,4,0,0,0,0,7,5,5,1,0,2,1,0,1,0,0,0,0,0,1,1,"DIV",TRUE,FALSE
"154",2025,"HOU","DeMeco Ryans","Nick Caley","Matt Burke",12,5,0,7,2,0,5,3,0,0,0,0,7,5,5,1,0,1,1,0,2,0,0,0,0,0,1,1,"DIV",TRUE,FALSE
"155",2015,"IND","Chuck Pagano","Rob Chudzinski, Pep Hamilton","Greg Manusky",8,8,0,4,4,0,4,4,0,0,0,0,7,4,4,2,0,0,1,0,0,1,0,1,1,0,0,0,"REG",FALSE,FALSE
"156",2016,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",8,8,0,4,4,0,4,3,0,0,1,0,6,5,3,3,0,2,0,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"157",2017,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",4,12,0,3,5,0,1,7,0,0,0,0,3,6,2,4,0,1,2,0,0,1,0,1,2,0,0,0,"REG",FALSE,FALSE
"158",2018,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",10,6,0,6,2,0,4,4,0,0,0,0,4,4,4,2,0,0,1,0,2,0,0,0,1,0,1,1,"DIV",TRUE,FALSE
"159",2019,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",7,9,0,5,3,0,2,6,0,0,0,0,5,6,3,3,0,1,1,0,2,0,0,0,1,0,0,0,"REG",FALSE,FALSE
"160",2020,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",11,5,0,6,2,0,5,3,0,0,0,0,5,2,4,2,0,2,0,0,1,0,0,1,0,0,0,1,"WC",TRUE,FALSE
"161",2021,"IND","Frank Reich","Marcus Brady","Matt Eberflus",9,8,0,4,5,0,5,3,0,0,0,0,2,5,3,3,0,1,0,0,1,0,0,0,2,0,0,0,"REG",FALSE,FALSE
"162",2022,"IND","Jeff Saturday","Marcus Brady","Gus Bradley",4,12,1,2,6,0,2,6,1,0,0,0,4,6,1,4,1,1,1,0,1,3,1,1,1,1,0,0,"REG",FALSE,FALSE
"163",2022,"IND","Frank Reich","Marcus Brady","Gus Bradley",4,12,1,2,6,0,2,6,1,0,0,0,4,6,1,4,1,1,1,0,1,3,1,1,1,1,0,0,"REG",FALSE,FALSE
"164",2023,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",9,8,0,4,5,0,4,3,0,1,0,0,6,3,3,3,0,1,0,0,1,1,0,2,1,0,0,0,"REG",FALSE,FALSE
"165",2024,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",8,9,0,5,3,0,3,6,0,0,0,0,8,5,3,3,0,0,0,0,2,2,0,1,0,0,0,0,"REG",FALSE,FALSE
"166",2025,"IND","Shane Steichen","Jim Bob Cooter","Lou Anarumo",8,9,0,5,3,0,2,6,0,1,0,0,3,7,2,4,0,0,1,0,0,1,0,1,1,0,0,0,"REG",FALSE,FALSE
"167",2015,"JAX","Gus Bradley","Greg Olson","Bob Babich",5,11,0,3,4,0,1,7,0,1,0,0,4,6,2,4,0,0,2,0,1,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"168",2016,"JAX","Doug Marrone","Nathaniel Hackett, Greg Olson","Todd Wash",3,13,0,1,6,0,1,7,0,1,0,0,2,8,2,4,0,1,1,0,0,3,0,0,0,0,0,0,"REG",FALSE,FALSE
"169",2016,"JAX","Gus Bradley","Nathaniel Hackett, Greg Olson","Todd Wash",3,13,0,1,6,0,1,7,0,1,0,0,2,8,2,4,0,1,1,0,0,3,0,0,0,0,0,0,"REG",FALSE,FALSE
"170",2017,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",10,6,0,5,2,0,4,4,0,1,0,0,2,3,4,2,0,1,0,0,1,0,0,1,1,0,2,1,"CON",TRUE,FALSE
"171",2018,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",5,11,0,3,4,0,2,6,0,0,1,0,2,6,1,5,0,0,1,0,1,2,0,0,0,0,0,0,"REG",FALSE,FALSE
"172",2019,"JAX","Doug Marrone","John DeFilippo","Todd Wash",6,10,0,3,4,0,3,5,0,0,1,0,2,3,2,4,0,1,1,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"173",2020,"JAX","Doug Marrone","Jay Gruden","Todd Wash",1,15,0,1,7,0,0,8,0,0,0,0,1,6,1,5,0,0,1,0,0,3,0,0,1,0,0,0,"REG",FALSE,FALSE
"174",2021,"JAX","Darrell Bevell","","Joe Cullen",3,14,0,2,6,0,0,8,0,1,0,0,2,4,1,5,0,0,2,0,0,3,0,0,0,0,0,0,"REG",FALSE,FALSE
"175",2021,"JAX","Urban Meyer","Darrell Bevell","Joe Cullen",3,14,0,2,6,0,0,8,0,1,0,0,2,4,1,5,0,0,2,0,0,3,0,0,0,0,0,0,"REG",FALSE,FALSE
"176",2022,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",9,8,0,5,2,0,4,5,0,0,1,0,4,6,4,2,0,2,0,0,2,2,0,1,0,0,1,1,"DIV",TRUE,FALSE
"177",2023,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",9,8,0,3,5,0,4,3,0,2,0,0,3,4,4,2,0,1,0,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"178",2024,"JAX","Doug Pederson","Press Taylor","Ryan Nielsen",4,13,0,2,5,0,1,7,0,1,1,0,3,10,3,3,0,0,1,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"179",2025,"JAX","Liam Coen","Grant Udinski","Anthony Campanile",13,4,0,7,1,0,6,2,0,0,1,0,6,3,5,1,0,0,0,0,0,0,0,2,0,0,0,1,"WC",TRUE,FALSE
"180",2015,"KC","Andy Reid","Doug Pederson","Bob Sutton",11,5,0,5,2,0,5,3,0,1,0,0,5,3,5,1,0,1,1,0,2,1,0,0,0,0,1,1,"DIV",TRUE,FALSE
"181",2016,"KC","Andy Reid","Brad Childress","Bob Sutton",12,4,0,6,2,0,6,2,0,0,0,0,7,3,6,0,0,1,1,0,3,0,0,2,0,0,0,1,"DIV",TRUE,FALSE
"182",2017,"KC","Andy Reid","Matt Nagy","Bob Sutton",10,6,0,6,2,0,4,4,0,0,0,0,3,5,5,1,0,2,1,0,0,0,0,0,1,0,0,1,"WC",TRUE,FALSE
"183",2018,"KC","Andy Reid","Eric Bieniemy","Bob Sutton",12,4,0,7,1,0,5,3,0,0,0,0,5,4,5,1,0,1,1,0,2,1,0,1,0,0,1,1,"CON",TRUE,FALSE
"184",2019,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",12,4,0,5,3,0,6,1,0,1,0,0,5,4,6,0,0,1,1,0,2,0,0,0,0,0,3,0,"SB",TRUE,TRUE
"185",2020,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",14,2,0,6,2,0,8,0,0,0,0,0,8,1,4,2,0,3,0,0,1,0,0,1,0,0,2,1,"SB",TRUE,FALSE
"186",2021,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",12,5,0,7,2,0,5,3,0,0,0,0,5,3,5,1,0,2,0,0,1,0,0,1,0,0,2,1,"CON",TRUE,FALSE
"187",2022,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",14,3,0,7,1,0,7,2,0,0,0,0,7,3,6,0,0,1,1,0,1,0,0,2,0,0,3,0,"SB",TRUE,TRUE
"188",2023,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",11,6,0,4,4,0,6,2,0,1,0,0,6,5,4,2,0,2,0,0,2,3,0,0,0,0,4,0,"SB",TRUE,TRUE
"189",2024,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",15,2,0,8,0,0,7,2,0,0,0,0,11,0,5,1,0,3,1,0,1,0,0,1,0,0,2,1,"SB",TRUE,FALSE
"190",2025,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",6,11,0,5,4,0,1,6,0,0,1,0,1,9,1,5,0,0,3,0,1,0,0,1,0,0,0,0,"REG",FALSE,FALSE
"191",2015,"LAC","Mike McCoy","Frank Reich","John Pagano",4,12,0,3,5,0,1,7,0,0,0,0,3,9,0,6,0,0,2,0,1,2,0,0,1,0,0,0,"REG",FALSE,FALSE
"192",2016,"LAC","Mike McCoy","Ken Whisenhunt","John Pagano",5,11,0,3,5,0,2,6,0,0,0,0,4,9,1,5,0,2,0,0,1,1,0,1,1,0,0,0,"REG",FALSE,FALSE
"193",2017,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",9,7,0,5,3,0,4,4,0,0,0,0,3,5,3,3,0,1,1,0,1,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"194",2018,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",12,4,0,4,3,0,7,1,0,1,0,0,6,1,4,2,0,2,1,0,1,1,0,0,0,0,1,1,"DIV",TRUE,FALSE
"195",2019,"LAC","Anthony Lynn","Shane Steichen, Ken Whisenhunt","Gus Bradley",5,11,0,2,5,0,3,5,0,0,1,0,2,9,0,6,0,0,2,0,0,0,0,1,0,0,0,0,"REG",FALSE,FALSE
"196",2020,"LAC","Anthony Lynn","Shane Steichen","Gus Bradley",7,9,0,4,4,0,3,5,0,0,0,0,5,7,3,3,0,2,0,0,1,2,0,1,2,0,0,0,"REG",FALSE,FALSE
"197",2021,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",9,8,0,5,4,0,4,4,0,0,0,0,5,5,3,3,0,0,2,0,0,2,0,0,2,0,0,0,"REG",FALSE,FALSE
"198",2022,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",10,7,0,5,3,0,5,4,0,0,0,0,7,5,2,4,0,1,1,0,1,1,0,1,0,0,0,1,"WC",TRUE,FALSE
"199",2023,"LAC","Giff Smith","Kellen Moore","Derrick Ansley",5,12,0,2,7,0,3,5,0,0,0,0,3,8,1,5,0,0,2,0,1,3,0,0,1,0,0,0,"REG",FALSE,FALSE
"200",2023,"LAC","Brandon Staley","Kellen Moore","Derrick Ansley",5,12,0,2,7,0,3,5,0,0,0,0,3,8,1,5,0,0,2,0,1,3,0,0,1,0,0,0,"REG",FALSE,FALSE
"201",2024,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",11,6,0,5,3,0,6,3,0,0,0,0,4,4,4,2,0,2,0,0,3,1,0,0,0,0,0,1,"WC",TRUE,FALSE
"202",2025,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",11,6,0,5,3,0,5,3,0,1,0,0,6,2,5,1,0,3,0,0,1,1,0,1,0,0,0,1,"WC",TRUE,FALSE
"203",2015,"LAR","Jeff Fisher","Rob Boras, Frank Cignetti","Gregg Williams",7,9,0,5,3,0,2,6,0,0,0,0,5,4,4,2,0,2,0,0,2,0,0,1,2,0,0,0,"REG",FALSE,FALSE
"204",2016,"LAR","John Fassel","Rob Boras","Gregg Williams",4,12,0,1,6,0,3,5,0,0,1,0,4,5,2,4,0,0,2,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"205",2016,"LAR","Jeff Fisher","Rob Boras","Gregg Williams",4,12,0,1,6,0,3,5,0,0,1,0,4,5,2,4,0,0,2,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"206",2017,"LAR","Sean McVay","Matt LaFleur","Wade Phillips",11,5,0,3,4,0,7,1,0,1,0,0,4,3,4,2,0,1,0,0,0,0,0,0,0,0,0,1,"WC",TRUE,FALSE
"207",2018,"LAR","Sean McVay","","Wade Phillips",13,3,0,7,1,0,6,2,0,0,0,0,6,1,6,0,0,2,0,0,1,0,0,0,0,0,2,1,"SB",TRUE,FALSE
"208",2019,"LAR","Sean McVay","","Wade Phillips",9,7,0,4,3,0,4,4,0,1,0,0,3,3,3,3,0,0,2,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"209",2020,"LAR","Sean McVay","Kevin O'Connell","Brandon Staley",10,6,0,6,2,0,4,4,0,0,0,0,4,4,3,3,0,1,1,0,0,2,0,0,0,0,1,1,"DIV",TRUE,FALSE
"210",2021,"LAR","Sean McVay","Kevin O'Connell","Raheem Morris",12,5,0,5,3,0,7,2,0,0,0,0,4,2,3,3,0,1,1,0,0,0,0,0,1,0,4,0,"SB",TRUE,TRUE
"211",2022,"LAR","Sean McVay","Liam Coen","Raheem Morris",5,12,0,4,5,0,1,7,0,0,0,0,3,4,1,5,0,1,1,0,0,2,0,0,1,0,0,0,"REG",FALSE,FALSE
"212",2023,"LAR","Sean McVay","Mike LaFleur","Raheem Morris",10,7,0,5,3,0,5,4,0,0,0,0,6,4,5,1,0,2,0,0,1,3,0,1,1,0,0,1,"WC",TRUE,FALSE
"213",2024,"LAR","Sean McVay","Mike LaFleur","Chris Shula",10,7,0,5,4,0,5,3,0,0,0,0,8,5,4,2,0,3,0,0,1,2,0,1,1,0,1,1,"DIV",TRUE,FALSE
"214",2025,"LAR","Sean McVay","Mike LaFleur","Chris Shula",12,5,0,7,1,0,4,4,0,1,0,0,4,5,4,2,0,2,1,0,1,0,0,0,2,0,2,1,"CON",TRUE,FALSE
"215",2015,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",7,9,0,3,5,0,4,4,0,0,0,0,6,5,3,3,0,1,1,0,1,0,0,1,0,0,0,0,"REG",FALSE,FALSE
"216",2016,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",12,4,0,5,2,0,6,2,0,1,0,0,9,2,3,3,0,2,0,0,1,1,0,1,0,0,0,1,"WC",TRUE,FALSE
"217",2017,"LV","Jack Del Rio","Todd Downing","Ken Norton, John Pagano",6,10,0,4,3,0,2,6,0,0,1,0,4,3,2,4,0,0,2,0,2,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"218",2018,"LV","Jon Gruden","Greg Olson","Paul Guenther",4,12,0,3,4,0,1,7,0,0,1,0,3,3,1,5,0,0,2,0,1,1,0,1,0,0,0,0,"REG",FALSE,FALSE
"219",2019,"LV","Jon Gruden","Greg Olson","Paul Guenther",7,9,0,4,3,0,2,6,0,1,0,0,7,3,3,3,0,1,1,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"220",2020,"LV","Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli",8,8,0,2,6,0,6,2,0,0,0,0,5,4,4,2,0,0,2,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"221",2021,"LV","Rich Bisaccia","Greg Olson","Gus Bradley",10,7,0,5,4,0,5,3,0,0,0,0,7,2,3,3,0,0,2,0,1,1,0,3,0,0,0,1,"WC",TRUE,FALSE
"222",2021,"LV","Jon Gruden","Greg Olson","Gus Bradley",10,7,0,5,4,0,5,3,0,0,0,0,7,2,3,3,0,0,2,0,1,1,0,3,0,0,0,1,"WC",TRUE,FALSE
"223",2022,"LV","Josh McDaniels","Mick Lombardi","Patrick Graham",6,11,0,4,4,0,2,7,0,0,0,0,4,9,3,3,0,1,0,0,1,1,0,2,2,0,0,0,"REG",FALSE,FALSE
"224",2023,"LV","Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham",8,9,0,6,3,0,2,6,0,0,0,0,5,5,4,2,0,1,0,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"225",2023,"LV","Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham",8,9,0,6,3,0,2,6,0,0,0,0,5,5,4,2,0,1,0,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"226",2024,"LV","Antonio Pierce","Luke Getsy, Scott Turner","Patrick Graham",4,13,0,2,6,0,2,7,0,0,0,0,3,4,0,6,0,0,2,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"227",2025,"LV","Pete Carroll","Chip Kelly, Greg Olson","Patrick Graham",3,14,0,2,7,0,1,7,0,0,0,0,2,5,1,5,0,0,0,0,1,4,0,0,1,0,0,0,"REG",FALSE,FALSE
"228",2015,"MIA","Dan Campbell","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",6,10,0,3,4,0,3,5,0,0,1,0,3,3,1,5,0,1,0,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"229",2015,"MIA","Joe Philbin","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",6,10,0,3,4,0,3,5,0,0,1,0,3,3,1,5,0,1,0,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"230",2016,"MIA","Adam Gase","Clyde Christensen","Vance Joseph",10,6,0,6,2,0,4,4,0,0,0,0,8,2,4,2,0,1,1,0,0,0,0,2,0,0,0,1,"WC",TRUE,FALSE
"231",2017,"MIA","Adam Gase","Clyde Christensen","Matt Burke",6,10,0,4,3,0,2,6,0,0,1,0,5,3,2,4,0,1,1,0,1,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"232",2018,"MIA","Adam Gase","Dowell Loggains","Matt Burke",7,9,0,6,2,0,1,7,0,0,0,0,7,1,4,2,0,1,1,0,1,1,0,1,0,0,0,0,"REG",FALSE,FALSE
"233",2019,"MIA","Brian Flores","Chad O'Shea","Patrick Graham",5,11,0,3,5,0,2,6,0,0,0,0,5,2,2,4,0,0,1,0,0,3,0,1,0,0,0,0,"REG",FALSE,FALSE
"234",2020,"MIA","Brian Flores","Chan Gailey","Josh Boyer",10,6,0,5,3,0,5,3,0,0,0,0,3,4,3,3,0,1,2,0,3,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"235",2021,"MIA","Brian Flores","George Godsey, Eric Studesville","Josh Boyer",9,8,0,6,3,0,3,4,0,0,1,0,4,3,4,2,0,2,0,0,0,3,0,0,1,0,0,0,"REG",FALSE,FALSE
"236",2022,"MIA","Mike McDaniel","Frank Smith","Josh Boyer",9,8,0,6,2,0,3,6,0,0,0,0,6,5,3,3,0,1,2,0,1,0,0,0,0,0,0,1,"WC",TRUE,FALSE
"237",2023,"MIA","Mike McDaniel","Frank Smith","Vic Fangio",11,6,0,7,2,0,4,3,0,0,1,0,4,3,4,2,0,1,0,0,0,0,0,0,0,0,0,1,"WC",TRUE,FALSE
"238",2024,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",8,9,0,5,3,0,3,6,0,0,0,0,4,4,3,3,0,1,2,0,2,1,0,1,0,0,0,0,"REG",FALSE,FALSE
"239",2025,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",7,10,0,4,4,0,2,6,0,1,0,0,4,3,3,3,0,3,0,0,0,0,0,1,0,0,0,0,"REG",FALSE,FALSE
"240",2015,"MIN","Mike Zimmer","Norv Turner","George Edwards",11,5,0,6,2,0,5,3,0,0,0,0,4,2,5,1,0,2,0,0,1,0,0,1,0,0,0,1,"WC",TRUE,FALSE
"241",2016,"MIN","Mike Zimmer","Pat Shurmur, Norv Turner","George Edwards",8,8,0,5,3,0,3,5,0,0,0,0,2,4,2,4,0,1,1,0,0,2,0,0,1,0,0,0,"REG",FALSE,FALSE
"242",2017,"MIN","Mike Zimmer","Pat Shurmur","George Edwards",13,3,0,7,1,0,5,2,0,1,0,0,5,2,5,1,0,2,0,0,1,0,0,0,0,0,1,1,"CON",TRUE,FALSE
"243",2018,"MIN","Mike Zimmer","John DeFilippo","George Edwards",8,7,1,5,3,0,3,4,1,0,0,0,3,2,3,2,1,1,1,0,1,0,1,0,0,1,0,0,"REG",FALSE,FALSE
"244",2019,"MIN","Mike Zimmer","Kevin Stefanski","George Edwards",10,6,0,6,2,0,4,4,0,0,0,0,2,4,2,4,0,0,2,0,2,1,0,0,0,0,1,1,"DIV",TRUE,FALSE
"245",2020,"MIN","Mike Zimmer","Gary Kubiak","Andre Patterson, Adam Zimmer",7,9,0,3,5,0,4,4,0,0,0,0,6,4,4,2,0,1,0,0,0,2,0,1,0,0,0,0,"REG",FALSE,FALSE
"246",2021,"MIN","Mike Zimmer","Klint Kubiak","Andre Patterson, Adam Zimmer",8,9,0,5,3,0,3,6,0,0,0,0,6,8,4,2,0,1,0,0,0,2,0,1,2,0,0,0,"REG",FALSE,FALSE
"247",2022,"MIN","Kevin O'Connell","Wes Phillips","Ed Donatell",13,4,0,8,1,0,4,3,0,1,0,0,11,0,4,2,0,2,0,0,1,0,0,2,0,0,0,1,"WC",TRUE,FALSE
"248",2023,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",7,10,0,2,6,0,5,4,0,0,0,0,6,8,2,4,0,0,1,0,1,0,0,0,1,0,0,0,"REG",FALSE,FALSE
"249",2024,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",14,3,0,7,1,0,6,2,0,1,0,0,9,1,4,2,0,1,1,0,0,0,0,1,0,0,0,1,"WC",TRUE,FALSE
"250",2025,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",9,8,0,4,4,0,4,3,0,1,1,0,5,4,4,2,0,1,1,0,2,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"251",2015,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",12,4,0,7,1,0,5,3,0,0,0,0,6,3,4,2,0,2,0,0,3,1,0,0,2,0,1,1,"CON",TRUE,FALSE
"252",2016,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",14,2,0,6,2,0,8,0,0,0,0,0,4,1,5,1,0,0,2,0,1,0,0,0,0,0,3,0,"SB",TRUE,TRUE
"253",2017,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",13,3,0,6,2,0,6,1,0,1,0,0,5,2,5,1,0,3,0,0,2,0,0,0,0,0,2,1,"SB",TRUE,FALSE
"254",2018,"NE","Bill Belichick","Josh McDaniels","",11,5,0,8,0,0,3,5,0,0,0,0,3,2,5,1,0,1,0,0,0,0,0,0,0,0,3,0,"SB",TRUE,TRUE
"255",2019,"NE","Bill Belichick","Josh McDaniels","",12,4,0,6,2,0,6,2,0,0,0,0,4,3,5,1,0,1,0,0,1,2,0,0,0,0,0,1,"WC",TRUE,FALSE
"256",2020,"NE","Bill Belichick","Josh McDaniels","",7,9,0,5,3,0,2,6,0,0,0,0,3,4,3,3,0,0,1,0,1,1,0,0,0,0,0,0,"REG",FALSE,FALSE
